comment,channel,video_url,comment_en,sentiment
"जय हाेस,यथारथपरक तथथेबिबरण बिबरणसाथ जानकरि दिनु भयकाेमा लाख सलुट छ टङकदाहालजिला।बिगतमा काङगेस,यमालेहरुले मातर नभयर सरकारि करमचारिसमेतले अाफनाे देश लुटाङयकाे छरलङग छ।जनताहरुले सततेबिबरण दियकाेमा जनताला पनि लाख सलुट छ,के पि अाेलि,माधब,गिरिजा,बि पि हरुले देश बेचेकाे किताबमा पनि पढियकाे थियाे।भारतले हाकाहाकि मिचदा पनि उदासिनता र थाहा नपाय जसताे गरि देश लुटायका पुराना सरकार र दलहरुकाे कुकरम मिठाे तरिकाले उजागर गरिदिनु भयाे।भारतकाे खुटटामा लमपसारबाद र लुकायर रकम लिने,भतता बुझने र जनताला देखाउन भारतला गालिगरे जसता नाटक गरने अपराधि दलका नेताहरुले गरेकाे छरलङग भयाे।",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Hello, there is a million salute to Tangkada district for giving the true facts in detail. In the past, the Congress, the Yamales have looted their country, including the government employees. They were also read in the book that sold the country. Even when India was crying, the old governments and parties who looted the country were exposed in a sweet way.",negative
"यो कुरा  cross-border occupation  होइन है ,सही शब्द cross-border property वा straddling property हो,यहाँ कुनै कब्जा (occupation) भएको होइन, केवल सिमाना पछि एउटै घर/जग्गा दुई देशमा पर्ने अवस्था हो, शब्द सही प्रयोग गरौँ भने बुझाइ अझ स्पष्ट हुन्छ।
Cross border occupation vaneko kunai एक देशले अर्को देशको भूमिमा कब्जा वा नियन्त्रण गर्ने विषय ho ,alik dhyan dinus tanka sir",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"This is not cross-border occupation, the correct word is cross-border property or straddling property, there is no occupation here, only the same house/land is in two countries after the border, if we use the word correctly, the understanding will be more clear.
Cross border occupation vaneko kunai one country occupying or controlling the land of another country ho ,alik dhyan dinus tanka sir",neutral
जय नेपाल पत्रकार ज्यु नमस्कार,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Jai Nepal Journalist Jyu Namaskar,positive
Iq=0 sabee ko aj ko vanda sixit rachan ho ansu barma ko pala ma,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,IQ = 0,neutral
"बालेन सरकारको बिकास उपलब्धी राम्रा कामहरु यस प्रकार छन्।
१. सुकुम्बासी गरीब जनताहरूको घर टहरा भत्काउने
२. नेपालले पनि धेरै ठाउँमा भारतको भु-भाग मिचेको छ। बालेन ज्यूले राष्ट्रघाती अभिव्यक्ति गर्नु?
३. विद्यार्थीहरुको SEE परीक्षामा जफत गरिएका मोबाइल फोन पानीमा डुबाएर नष्ट गर्ने काम।
४. जनताले दुई छाक टार्न चलाईरहेका टेम्पो भिरबाट खसालिदिनु।
५. ज्याला मजदुरी गर्ने गरीब जनताहरूको ज्याला दर पैसा नबढाउने बालेन सरकारले कर बढाएर सुकुम्बासी गरीब जनताहरू रूवाबासी गर्ने? रास्वपा बालेन सरकारको धेरै नै राम्रो काम? GOOD JOB 👏",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Balen government's development achievements are as follows.
1. Demolishing the houses of squatter poor people
2. Nepal has also encroached on India's territory in many places. Balen Jews make anti-national expressions?
3. Destruction of mobile phones confiscated from students in SEE examination by immersing them in water.
4. The people should drop the tempo that people are trying to avoid.
5. If the government does not increase the wage rate of the poor people who work as wage workers, will the poor people who live in slums go to sleep by raising taxes? It is very good for the RSVP Balen government",negative
Yo kuro sahi hoo,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,This is true,neutral
patrakarita vaneko yo po hota salute🙏,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,If you have signed a letter then you will receive a salute🙏,positive
"नेपाल र इन्डिया बीचको सिमाना छुट्याउने सम्बन्धमा जति सुकै छलफल गरे पनि नेपालको भूमि इन्डियाले छोड्ने छैन । नेपाल सानाे छ सके सिक्किम जस्तै निल्ने नसके च्याप्दै लिने । नेपालको भूमि कायम गराउनको लागि बेलायतलाई उपस्थिति गराउनै पर्छ। सके छिमेकी देश चीनलाई पनि सहभागी गराउनु राम्रो हुन्छ । नेपालका नेता भनाउदा थोत्रा चपली झोले,सेबक राष्ट्रघाती, दलाल,भ्रष्टाचारी, आदि अपराधी बे जिम्मेवार लुटेराहरुको हातमा राज्य सत्ता पर्दै आएकोले इन्डियाको मनोबल  ले दबाउन सक्छु भन्ने आत्मविश्वास उनीहरूको दिमागमा छ । दलालको हातमा राज्य सत्ता पर्नु भनेको देश र जनताप्रति बे जिम्मेवार भएको परिणाम देखिनु हो। देशको भूमि गुमाउँदै जानुको साथै विकासको नाउमा जनताको निजी हक अधिकारको घर टहरा जग्गा जमिन माथि मापदण्ड, अतिक्रमकारी को समेत आरोप लगाउँदै डोजरले पेल्दै वर्वाद गर्नु नै परिचय दिनु हाे। त्यस्ता प्रजातंत्र,लोकतंत्र,गणतन्त्रवादी भनाउँदा राष्ट्रघाती , भ्रष्टाचारी, लुटेरा दलाल हरुकै पछि पछि लाग्ने झोले हरुले बाहेक अरुले तारिफ गर्ने छैन जय जेन z शहीद",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"India will not leave Nepal's land no matter how many discussions are held regarding the delimitation of the border between Nepal and India. If Nepal is small, like Sikkim, if it cannot be swallowed, it will be torn apart. Britain must be present to maintain the land of Nepal. If possible, it is better to involve the neighboring country China as well. When the leaders of Nepal say that the power of the state is falling in the hands of irresponsible robbers like thotra chapali jhole, sebak national killers, brokers, corruptors, etc., they are confident that they can suppress it with the morale of India. broker",negative
"अहिले सम्म हेरेको सीमा अतिक्रमण सम्बन्धिको विश्लेषण मध्ये हजुरको मात्र ठीक लाग्यो, धन्यवाद टंक दाइ हजुरको निष्पक्ष छानवीन र विश्लेषणका लागि।🙏",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Out of the analysis of border encroachment that I have seen so far, I think yours is the only one that is correct, thank you for your impartial selection and analysis.🙏",positive
सुगौली सन्धि नै हेरौ । 😊,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Look at the Sugauli Treaty itself. 😊,positive
इंडिया सरकार मुर्दावाद,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Indian government deadness,negative
Tanka sir ABA nepalmai kehi garnu parxa aunus,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Tanka sir ABA nepalmai kehi garnu parxa aunus,negative
"Right कुरा गर्नुभयो Tanka sir  nepal भारत को सम्बन्ध गहिरो छ, त्यसकारण यो सम्बन्ध ma आच naaune गरि कुटनीतिक हिसाबले अगाडि badnu ठीक होला l धेरै धेरै धन्यवाद तपाईँलाई yeti धेरै प्रमाण सहित prastyanu भएको ma 🫡🫡",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"You spoke right Tanka sir Nepal India's relationship is deep, that's why this relationship should be done diplomatically. Thank you very much.",positive
harekey mug kaha xa,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,How much is it?,neutral
बालेनको सल्लाहकार चाइ तपाईं हुनु पर्ने,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,You should be Balen's mentor,neutral
बदाइछजएनेपाल,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Badaichjaenepal,negative
जेबोलनुहुनछसतेबपनुहुनछतेइबिसबसस्ातहेरिनछ,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Jebolnuhunchsatebpanuhunchteibissatebesatsate,negative
मैलेहेरेकोथिइनतेइभएरहेरिआजेठ२९गते,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,मैलेहेरेकोथिइनतेइभएरहेरिआजेठ२९गते,negative
कुनचाइसाइटमसरछबुजनखोजेकोथेएइसपसटबुजाउनुभोटटङकसरधेरैधेरैधनेबाद,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"If you are looking for information on which site you are looking for, please let me know.",neutral
तआफइहेरतरमलाइआबसेकछैनधे,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Don't worry about it,neutral
Much needed news,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Much needed news,neutral
Sahi vonnuvayo badhai xa.❤    ❤,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,I congratulate you so much.❤ ❤,positive
जानकारी मुलक,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,information country,neutral
लिड सर,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,lid sir,positive
I was waiting for this tweet thank you Tanka ji,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,I was waiting for this tweet thank you Tanka ji,positive
Yes tanka ji your talk is 100 % right . . .,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Yes tanka ji your talk is 100 % right . . .,positive
मिचे पनि नमिचे पनि कुनै पनि देशको राष्ट्र प्रमुखले हाम्रो देश पनि अर्को देशमा सिमा मिचेका छौँ कहिले पनि भन्दैन।,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Regardless of whether or not the head of state of any country never says that our country has also crossed the border of another country.,negative
"I have great respect for your impartial journalism Tanka Sir .If a person cannot speak the truth, they should not speak untruths either.",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"I have great respect for your impartial journalism Tanka Sir .If a person cannot speak the truth, they should not speak untruths either.",positive
"Hello Tanka sir, I have an urgency with you. How to contact you? It's very urgent. Please.",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Hello Tanka sir, I have an urgency with you. How to contact you? It's very urgent. Please.",neutral
Chuta Madeira jholla ghante ko,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Chuta Madeira Jholla Hour Ko,negative
इन्डिया जस्तो छिमेकी देश हुनुभन्दा न हुनु बेस बरु मर्न तयार छौँ तर एक इन्च जमिन थुन्ने वाला छैन,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Rather than having a neighboring country like India, we are ready to die, but we are not going to hold back an inch of land",negative
White House for captain balan gantie,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,White House for captain balan gantie,neutral
Jay Nepal 🇳🇵🇳🇵,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Jay Nepal 🇳🇵🇳🇵,positive
Good luck sar,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Good luck sar,positive
"धन्यवाद टंकजी,  बिपक्षी शांसदहरूले संशद अवराेध नगरेर अव कुटनैतिक माध्यमबाट भारत संगकाे शिमा बिवाद समाधान गर्न बालेनकाे सरकारलाइ सहयाेग गर्नु देश हितमा हुन जान्छ । अाशीर्वाद ।",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Thank you Tankji, it will be in the interest of the country if the opposition MPs do not block the parliament and help the Balena government to resolve the border dispute with India through diplomatic means. blessing",positive
Great job.....,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Great job.....,positive
हामीले त् बुजिराछम यो कुरा पागल हर्के र एमाले कांग्रेस को झोले सांसद हरुलाई कोर्रा हानी हानी बुजाउनु पर्यो टंक दाजु 😂😂🙏🏻🙏🏻👍🏻,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"We understand that this thing went crazy and UML had to flog Congress MPs, brother. 😂😂🙏🏻🙏🏻👍🏻",negative
junsukai kurako pani prasta aafno bhanai rakhne dahal jee saxmam patrakar hun,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Junsukai kurako pani prasta aafno bhanai rakhne dahal jee saxmam patrakar hun,negative
Ho rahay xa,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,How are you?,neutral
Thank you for sharing this informative video.,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Thank you for sharing this informative video.,positive
"Khai kata kata rasopako jhole po lagna thalyo 😅…
Pm galti garne ani uha haru jogaauna lagne .",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Khai said that the rasopako holes will be filled with plates 😅…
Pm galti garne ani uha haru jogaauna lagne.",neutral
Fantastic news Tanka G,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Fantastic news Tanka G,positive
"कुरो र कुलो जता लगेनी हुने रैछ । बालेनको ठाउँमा अरु पुराना नेता भए छेरुन्जेल संसदमा गलत बोल्यो भनेर हाइलाइट गर्थ्यो, अहिले बालेनले गलत बोल्यो भन्न सकेन । भनेको कुरा ठिक छ सबै तर मान्छे लाई कता ढल्काउने, आक्रोशित बनाउने वा कन्भिन्स गराउने सबै चलाखिपुर्वक भिडियो बनाएको छ । सबैभन्दा खतरा तिमीहरुबाट छ । तिमिहरु स्वतन्त्र हुनै सक्दैनौ ।",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Things are going to happen everywhere. Until there were other old leaders in Balen's place, he used to highlight that he spoke wrongly in the parliament, now Balen could not say that he spoke wrongly. That is all right, but all clever videos have been made to make people angry, angry or convinced. The biggest danger is from you. You cannot be free.",negative
Last ma bujiyo balen KO bachau😅,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Last ma bujiyo balen KO bachau 😅,neutral
Raja rajsansthaa vako vae k estai hunthyo tw ?? Table talk garna lai vneko re ajha veda haru feri tali padkaune ho ho vndai. Nepali veda nai ho,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Raja rajsansthaa vako vae k estai hunthyo tw ?? Table talk garna lai vneko re ajha veda haru feri tali padkaune ho ho vndai. Nepali veda nai ho,negative
माचिक्ने टन्के,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Machikne tanks,neutral
Hi hiii ihaaaaa,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Hi hiii ihaaaaa,positive
Jaba samma border ma wiring hudaina taba samma kei hudaina,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,All tobacco borders and wiring are occupied all tobacco is occupied,neutral
नेपालले संरक्षण गर्न सक्ने भनेको काठमाडौँ पोखरा र चितवनमात्र होला । जता जता सहर छ उता उता । गाउँलाई संरक्षण गर्ने कसले ?,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Nepal can protect only Kathmandu, Pokhara and Chitwan. Everywhere there is a city. Who will protect the village?",negative
सिमाना हैन जग्गा मिचेको भनेको हो।,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,It is not the border but the land that has been destroyed.,negative
"सच्चा मन भएका नेपाली निडर पत्रकार टंक दाई❤❤❤❤
My big fan",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"True hearted Nepali fearless journalist Tank Dai❤❤❤❤
My big fan",positive
Sahi bichar,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,true thoughts,neutral
Darayo yo pani😅😅,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Daryo yo pani😅😅,neutral
Your points are absolutely right according to treaty of 1816. And occupied land is to be claimed by nepal in diplomatic way. That must strat right now on.,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Your points are absolutely right according to treaty of 1816. And occupied land is to be claimed by nepal in diplomatic way. That must strat right now on.,neutral
झोले हरु यो भिडियो हेर अनि सुन,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Watch and listen to this video,positive
China le gareko xa ki xaina sir  encroachment,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,China le gareko xa xaina sir encroachment,negative
"yo jhole amrica bata nepal kp barema mata ngative mata boxa Amrica ko barema pane vannu ne amrica maa basre  nepal ko kura garxa fata jhole,,,,",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"If you go to America then Nepal will be under the negative mother box, then America will go to Nepal,,,,",negative
Khai chadai hos sima niwarad,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Open host limitation,negative
टँक सर को यो निष्पक्ष पत्रकारिता र जानकारी को लागी स्यालुट् छ । टँक सर को समाचार मुलक भिडीयो हरू हेरी रहन्छु र एक दम राम्रो लाग्छ । यस्तै राम्रा र जानकारी मुलक भिडीयो हरू प्रस्तुत गर्दै जानु हुन को लागी हार्दिक शुभकामना छ ।,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Thank you sir for this fair journalism and information. I keep watching tank sir's news videos and it's really good. Best wishes for presenting such good and informative videos.,positive
"Sir ani balen sir le rostam bata yesto abhibekti dida kasto asar parcha tyo no vandinus , aile.india ma headline vako cha india ko jamin nepal le micheko cha vanera yesko k asar parcha tyo no vandinus",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Sir ani Balen sir le rostam bata yesto abhibekti dida kaso asar parcha tyo no vandinus, aile.india ma headline vako cha india ko jamin nepal le micheko cha vanera yesko k asar parcha tyo no vandinus",negative
म pm भयपछि भनेकाे छ ।,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,I told you after PM.,neutral
Backoff india,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Backoff India,negative
Thank you tanka sir yak sacha nidar pattrakar💕❤️💕🙏🙏🙏🙏🙏,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Thank you tanka sir yak sacha nidar pattrakar,positive
नेपाल ले।अपना ही।जमीन का।प्रयोग किया।हें ।यह।भारत के।जमीन नही नही है 👍👍☝️☝️,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Nepal has taken its own land and used it. This is not India's land. 👍👍☝️☝️,negative
"Woou Tank Babu it’s really clear why the people are not understanding why they are shouting to Ballan government t
.I think maybe they are move lying by the opposition party.",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Woou Tank Babu it’s really clear why the people are not understanding why they are shouting to Ballan government t
.I think maybe they are move lying by the opposition party.",negative
तपाई देस्द्रोही ले बालेन को स्पष्टीकरण दिराख्नु पर्दैन। देश जलौने हरु,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,You don't need to explain why you are a traitor. The country is burning,negative
"Chup lag thag kharane,",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Shut up and eat food,",neutral
हजुर लाई धन्यबाद छ समय समय मा हजुर काे जानकारी मूलक विडीओ आउँछ हेर्छु। कमेन्ट पनी गर्छु। सटिक समाचार हुन्छ्।,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,"Thank you, I will watch your informative videos from time to time. I will comment. Accurate news.",positive
नेपालले भारतको सुर्ती बाहेक केही मिचेकै छैन,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Nepal has not smoked anything except tobacco from India,negative
Balen le thik gardai xa,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Balen le thik guard xa,negative
Thank you for raising voice,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Thank you for raising voice,positive
